t,pose_x,pose_y,pose_yaw,goal_x,goal_y,goal_active,goal_status,plan_id,plan_nearest_error_m,raw_obstacle_points,dynamic_obstacle_points,dynamic_tracks,dynamic_predicted_points,dynamic_max_speed_mps,safety_stop,cmd_vx,cmd_wz,left_thrust_n,right_thrust_n
3.001,-0.3136,0.3328,0.00150,,,0,IDLE code=0; status_seq=1,0,,2969,0,0,0,0.000,0,,,,
3.200,-0.3174,0.3309,-0.00334,,,0,IDLE code=0; status_seq=1,0,,2969,0,0,0,0.000,0,,,,
3.401,-0.3172,0.3311,0.00071,,,0,IDLE code=0; status_seq=1,0,,2969,0,0,0,0.000,0,,,,
3.600,-0.3201,0.3291,-0.00017,,,0,IDLE code=0; status_seq=1,0,,2969,0,0,0,0.000,0,,,,
3.800,-0.3187,0.3284,-0.00102,,,0,IDLE code=0; status_seq=1,0,,2969,0,0,0,0.000,0,,,,
4.000,-0.3173,0.3254,-0.00082,,,0,IDLE code=0; status_seq=1,0,,2969,0,0,0,0.000,0,,,,
4.200,-0.3155,0.3227,0.00126,,,0,IDLE code=0; status_seq=1,0,,2969,0,0,0,0.000,0,,,,
4.400,-0.3155,0.3227,0.00126,,,0,IDLE code=0; status_seq=1,0,,2969,0,0,0,0.000,0,,,,
4.600,-0.3155,0.3227,0.00126,,,0,IDLE code=0; status_seq=1,0,,2969,0,0,0,0.000,0,,,,
4.801,-0.3155,0.3227,0.00126,,,0,IDLE code=0; status_seq=1,0,,3263,0,0,0,0.000,0,,,,
5.000,-0.3155,0.3227,0.00126,,,0,IDLE code=0; status_seq=1,0,,3263,0,0,0,0.000,0,,,,
