t,pose_x,pose_y,pose_yaw,goal_x,goal_y,goal_active,goal_status,plan_id,plan_nearest_error_m,raw_obstacle_points,dynamic_obstacle_points,safety_stop
0.201,-1.1539,1.2969,0.00108,,,0,IDLE code=0,0,,0,0,0
0.400,-1.1539,1.2968,0.00030,,,0,IDLE code=0,0,,3983,0,1
0.600,-1.1539,1.2968,0.00030,,,0,IDLE code=0,0,,3983,0,1
0.801,-1.1736,1.2965,-0.00109,,,0,IDLE code=0,0,,3983,0,1
1.001,-1.1736,1.2965,-0.00109,,,0,IDLE code=0,0,,3983,0,1
1.200,-1.1928,1.2945,-0.00894,,,0,IDLE code=0,0,,3983,0,1
1.400,-1.1982,1.3069,-0.00125,,,0,IDLE code=0,0,,3993,0,1
1.601,-1.2089,1.3134,-0.00113,,,0,IDLE code=0,0,,3993,0,1
1.800,-1.2085,1.3130,-0.00507,,,0,IDLE code=0,0,,3993,0,1
2.001,-1.2140,1.3188,-0.00176,,,0,IDLE code=0,0,,3993,0,1
2.201,-1.2140,1.3188,-0.00176,,,0,IDLE code=0,0,,3993,0,1
2.402,-1.2140,1.3188,-0.00176,,,0,IDLE code=0,0,,4085,0,1
2.601,-1.2140,1.3188,-0.00176,,,0,IDLE code=0,0,,4085,0,1
2.801,-1.2140,1.3188,-0.00176,,,0,IDLE code=0,0,,4085,0,1
3.000,-1.2140,1.3188,-0.00176,,,0,IDLE code=0,0,,4085,0,1
3.201,-1.2140,1.3188,-0.00176,,,0,IDLE code=0,0,,4085,0,1
3.400,-1.2140,1.3188,-0.00176,,,0,IDLE code=0,0,,4085,0,1
3.600,-1.2129,1.4155,-0.00356,,,0,IDLE code=0,0,,4085,0,1
3.800,-1.1682,1.3646,0.00222,,,0,IDLE code=0,0,,4298,0,1
4.000,-1.1576,1.3509,0.00159,,,0,IDLE code=0,0,,4298,0,1
4.200,-1.1527,1.3435,0.00147,,,0,IDLE code=0,0,,4298,0,1
4.401,-1.1499,1.3389,-0.00027,,,0,IDLE code=0,0,,4298,0,1
4.600,-1.1484,1.3357,0.00266,,,0,IDLE code=0,0,,4298,0,1
4.800,-1.1485,1.3326,0.00186,,,0,IDLE code=0,0,,4255,0,1
5.000,-1.1495,1.3303,0.00093,,,0,IDLE code=0,0,,4255,0,1
5.200,-1.1496,1.3268,-0.00022,,,0,IDLE code=0,0,,4255,0,1
5.400,-1.1516,1.3241,0.00013,,,0,IDLE code=0,0,,4255,0,1
5.600,-1.1516,1.3241,0.00013,,,0,IDLE code=0,0,,4255,0,1
5.800,-1.1516,1.3241,0.00013,,,0,IDLE code=0,0,,4002,0,1
6.001,-1.1656,1.3170,0.00014,,,0,IDLE code=0,0,,4002,0,1
6.200,-1.1654,1.3168,0.00023,,,0,IDLE code=0,0,,4002,0,1
6.400,-1.1780,1.3154,-0.00069,,,0,IDLE code=0,0,,4002,0,1
6.600,-1.1780,1.3154,-0.00069,,,0,IDLE code=0,0,,4002,0,1
6.800,-1.1939,1.3152,-0.00159,,,0,IDLE code=0,0,,4002,0,1
7.001,-1.2055,1.3149,-0.00441,,,0,IDLE code=0,0,,4026,0,1
7.200,-1.2106,1.3152,-0.00734,,,0,IDLE code=0,0,,4026,0,1
7.400,-1.2147,1.3156,-0.00116,,,0,IDLE code=0,0,,4026,0,1
7.600,-1.2158,1.3159,-0.00112,,,0,IDLE code=0,0,,4026,0,1
7.800,-1.2158,1.3159,-0.00112,,,0,IDLE code=0,0,,4026,0,1
8.000,-1.2136,1.3180,-0.00128,,,0,IDLE code=0,0,,4026,0,1
8.200,-1.2127,1.3176,-0.00190,,,0,IDLE code=0,0,,4144,0,1
8.400,-1.2127,1.3176,-0.00190,,,0,IDLE code=0,0,,4144,0,1
8.600,-1.2009,1.3268,-0.00501,,,0,IDLE code=0,0,,4144,0,1
8.800,-1.1844,1.3166,-0.00109,,,0,IDLE code=0,0,,4144,0,1
9.000,-1.1803,1.3150,0.00072,,,0,IDLE code=0,0,,4144,0,1
9.200,-1.1803,1.3150,0.00072,,,0,IDLE code=0,0,,4144,0,1
9.400,-1.1648,1.3179,-0.00251,,,0,IDLE code=0,0,,4263,0,1
9.600,-1.1622,1.3160,0.00054,,,0,IDLE code=0,0,,4263,0,1
9.800,-1.1622,1.3160,0.00054,,,0,IDLE code=0,0,,4263,0,1
10.000,-1.1597,1.3135,-0.00767,,,0,IDLE code=0,0,,4263,0,1
10.200,-1.1569,1.3070,-0.00058,,,0,IDLE code=0,0,,4263,0,1
10.400,-1.1610,1.3069,-0.00561,,,0,IDLE code=0,0,,4263,0,1
10.600,-1.1599,1.3070,-0.00195,,,0,IDLE code=0,0,,4263,0,1
10.800,-1.1644,1.3086,-0.00940,,,0,IDLE code=0,0,,4009,0,1
11.000,-1.1658,1.3081,-0.00097,,,0,IDLE code=0,0,,4009,0,1
11.200,-1.1724,1.3103,0.00020,,,0,IDLE code=0,0,,4009,0,1
11.400,-1.1782,1.3120,-0.00310,,,0,IDLE code=0,0,,4009,0,1
11.600,-1.1858,1.3136,-0.00949,,,0,IDLE code=0,0,,4009,0,1
11.800,-1.1925,1.3131,-0.01107,,,0,IDLE code=0,0,,3997,0,1
12.000,-1.1938,1.3138,-0.00280,,,0,IDLE code=0,0,,3997,0,1
12.200,-1.1938,1.3138,-0.00280,,,0,IDLE code=0,0,,3997,0,1
12.400,-1.2078,1.3146,-0.00567,,,0,IDLE code=0,0,,3997,0,1
12.600,-1.2084,1.3141,-0.00765,,,0,IDLE code=0,0,,3997,0,1
12.801,-1.2085,1.3139,-0.00097,,,0,IDLE code=0,0,,4140,0,1
13.001,-1.2070,1.3124,-0.00056,,,0,IDLE code=0,0,,4140,0,1
13.200,-1.2059,1.3138,-0.00722,,,0,IDLE code=0,0,,4140,0,1
13.400,-1.2022,1.3107,-0.00152,,,0,IDLE code=0,0,,4140,0,1
13.600,-1.2000,1.3111,-0.00514,,,0,IDLE code=0,0,,4140,0,1
13.800,-1.1944,1.3099,-0.00167,,,0,IDLE code=0,0,,4140,0,1
14.000,-1.1888,1.3074,0.00058,,,0,IDLE code=0,0,,4303,0,1
14.200,-1.1867,1.3079,0.00091,,,0,IDLE code=0,0,,4303,0,1
14.400,-1.1799,1.3055,0.00083,,,0,IDLE code=0,0,,4303,0,1
14.601,-1.1799,1.3055,0.00083,,,0,IDLE code=0,0,,4303,0,1
14.800,-1.1756,1.3054,-0.00516,,,0,IDLE code=0,0,,4303,0,1
15.000,-1.1741,1.3047,0.00039,,,0,IDLE code=0,0,,4303,0,1
15.200,-1.1741,1.3047,0.00039,,,0,IDLE code=0,0,,4303,0,1
15.400,-1.1741,1.3047,0.00039,,,0,IDLE code=0,0,,4303,0,1
15.600,-1.1864,1.3189,-0.00148,,,0,IDLE code=0,0,,4025,0,1
15.800,-1.1932,1.3225,0.00007,,,0,IDLE code=0,0,,4025,0,1
16.000,-1.1932,1.3225,0.00007,,,0,IDLE code=0,0,,4025,0,1
16.200,-1.1932,1.3225,0.00007,,,0,IDLE code=0,0,,4025,0,1
16.401,-1.1932,1.3225,0.00007,,,0,IDLE code=0,0,,4025,0,1
16.600,-1.1932,1.3225,0.00007,,,0,IDLE code=0,0,,3987,0,1
16.800,-1.2251,1.3443,-0.00165,,,0,IDLE code=0,0,,3987,0,1
17.000,-1.2251,1.3443,-0.00165,,,0,IDLE code=0,0,,3987,0,1
17.200,-1.2245,1.3493,-0.00181,,,0,IDLE code=0,0,,3987,0,1
17.400,-1.2224,1.3470,-0.00061,,,0,IDLE code=0,0,,3987,0,1
17.600,-1.2219,1.3468,-0.00592,,,0,IDLE code=0,0,,4131,0,1
17.800,-1.2192,1.3433,-0.00535,,,0,IDLE code=0,0,,4131,0,1
18.001,-1.2173,1.3412,-0.00037,,,0,IDLE code=0,0,,4131,0,1
18.200,-1.2137,1.3402,0.00251,,,0,IDLE code=0,0,,4131,0,1
18.400,-1.2109,1.3383,-0.00656,,,0,IDLE code=0,0,,4131,0,1
18.601,-1.2066,1.3352,-0.00073,,,0,IDLE code=0,0,,4131,0,1
18.800,-1.2027,1.3328,-0.00115,,,0,IDLE code=0,0,,4318,0,1
19.000,-1.2004,1.3305,-0.00341,,,0,IDLE code=0,0,,4318,0,1
19.200,-1.1971,1.3282,0.00071,,,0,IDLE code=0,0,,4318,0,1
19.401,-1.1954,1.3271,-0.00442,,,0,IDLE code=0,0,,4318,0,1
19.601,-1.1937,1.3255,-0.00586,,,0,IDLE code=0,0,,4318,0,1
19.800,-1.1913,1.3226,-0.00321,,,0,IDLE code=0,0,,4318,0,1
20.000,-1.1915,1.3220,-0.00685,,,0,IDLE code=0,0,,4147,0,1
20.200,-1.1908,1.3189,-0.00558,,,0,IDLE code=0,0,,4147,0,1
20.400,-1.1893,1.3177,0.00021,,,0,IDLE code=0,0,,4147,0,1
20.600,-1.1940,1.3181,-0.00578,,,0,IDLE code=0,0,,4147,0,1
20.800,-1.1927,1.3162,-0.00868,,,0,IDLE code=0,0,,4147,0,1
21.000,-1.1936,1.3135,-0.00513,,,0,IDLE code=0,0,,4009,0,1
21.200,-1.1947,1.3127,-0.00904,,,0,IDLE code=0,0,,4009,0,1
21.400,-1.1955,1.3129,-0.00916,,,0,IDLE code=0,0,,4009,0,1
21.601,-1.1973,1.3132,-0.00852,,,0,IDLE code=0,0,,4009,0,1
21.800,-1.1992,1.3146,-0.00202,,,0,IDLE code=0,0,,4009,0,1
22.000,-1.2005,1.3150,-0.00141,,,0,IDLE code=0,0,,3945,0,1
22.200,-1.2022,1.3188,-0.00111,,,0,IDLE code=0,0,,3945,0,1
22.401,-1.2022,1.3188,-0.00111,,,0,IDLE code=0,0,,3945,0,1
22.601,-1.2022,1.3188,-0.00111,,,0,IDLE code=0,0,,3945,0,1
22.801,-1.2022,1.3188,-0.00111,,,0,IDLE code=0,0,,3945,0,1
23.000,-1.1994,1.3272,-0.00283,,,0,IDLE code=0,0,,4057,0,1
23.200,-1.2022,1.3453,-0.00074,,,0,IDLE code=0,0,,4057,0,1
23.400,-1.2008,1.3466,-0.00056,,,0,IDLE code=0,0,,4057,0,1
23.600,-1.1987,1.3478,-0.00143,,,0,IDLE code=0,0,,4057,0,1
23.800,-1.1969,1.3477,0.00024,,,0,IDLE code=0,0,,4057,0,1
